iter	Passed	Remaining
716	1132	447
717	1134	445
718	1135	443
719	1136	441
720	1137	440
721	1139	438
722	1140	436
723	1141	435
724	1142	433
725	1143	431
726	1145	430
727	1146	428
728	1147	426
729	1148	424
730	1150	423
731	1151	421
732	1152	419
733	1153	418
734	1155	416
735	1156	414
736	1157	413
737	1158	411
738	1160	409
739	1161	408
740	1162	406
741	1163	404
742	1164	402
743	1165	401
744	1167	399
745	1168	397
746	1169	396
747	1170	394
748	1172	392
749	1173	391
750	1174	389
751	1175	387
752	1177	386
753	1178	384
754	1179	382
755	1181	381
756	1182	379
757	1183	377
758	1184	376
759	1185	374
760	1187	372
761	1188	371
762	1189	369
763	1190	367
764	1191	366
765	1193	364
766	1194	362
767	1195	361
768	1196	359
769	1198	357
770	1199	356
771	1200	354
772	1201	352
773	1202	351
774	1203	349
775	1205	347
776	1206	346
777	1207	344
778	1208	342
779	1209	341
780	1211	339
781	1212	338
782	1213	336
783	1214	334
784	1215	333
785	1217	331
786	1218	329
787	1219	328
788	1220	326
789	1221	324
790	1222	323
791	1223	321
792	1224	319
793	1226	318
794	1227	316
795	1228	314
796	1229	313
797	1231	311
798	1232	309
799	1233	308
800	1234	306
801	1235	305
802	1236	303
803	1237	301
804	1239	300
805	1240	298
806	1241	296
807	1242	295
808	1244	293
809	1246	292
810	1247	290
811	1248	289
812	1249	287
813	1251	285
814	1252	284
815	1253	282
816	1254	281
817	1255	279
818	1256	277
819	1257	276
820	1258	274
821	1259	272
822	1261	271
823	1262	269
824	1263	268
825	1264	266
826	1266	264
827	1267	263
828	1268	261
829	1269	260
830	1270	258
831	1271	256
832	1273	255
833	1274	253
834	1275	252
835	1276	250
836	1277	248
837	1278	247
838	1279	245
839	1281	244
840	1282	242
841	1283	240
842	1285	239
843	1286	237
844	1287	236
845	1288	234
846	1289	232
847	1290	231
848	1292	229
849	1293	228
850	1294	226
851	1295	225
852	1296	223
853	1297	221
854	1299	220
855	1300	218
856	1301	217
857	1303	215
858	1304	214
859	1305	212
860	1306	210
861	1307	209
862	1309	207
863	1310	206
864	1311	204
865	1312	203
866	1313	201
867	1314	199
868	1316	198
869	1318	197
870	1320	195
871	1321	194
872	1324	192
873	1326	191
874	1329	189
875	1331	188
876	1333	187
877	1336	185
878	1338	184
879	1340	182
880	1343	181
881	1347	180
882	1349	178
883	1350	177
884	1352	175
885	1354	174
886	1355	172
887	1358	171
888	1361	169
889	1362	168
890	1364	166
891	1368	165
892	1372	164
893	1374	162
894	1376	161
895	1378	160
896	1381	158
897	1384	157
898	1386	155
899	1387	154
900	1389	152
901	1391	151
902	1393	149
903	1394	148
904	1396	146
905	1397	145
906	1399	143
907	1400	141
908	1402	140
909	1404	138
910	1406	137
911	1408	135
912	1410	134
913	1413	132
914	1415	131
915	1417	129
916	1418	128
917	1421	126
918	1424	125
919	1427	124
920	1429	122
921	1431	121
922	1434	119
923	1436	118
924	1438	116
925	1440	115
926	1442	113
927	1444	112
928	1446	110
929	1448	109
930	1451	107
931	1453	106
932	1455	104
933	1457	103
934	1459	101
935	1461	99
936	1463	98
937	1465	96
938	1467	95
939	1469	93
940	1474	92
941	1477	90
942	1479	89
943	1482	87
944	1484	86
945	1486	84
946	1493	83
947	1498	82
948	1508	81
949	1510	79
950	1521	78
951	1524	76
952	1527	75
953	1529	73
954	1531	72
955	1533	70
956	1534	68
957	1536	67
958	1542	65
959	1544	64
960	1547	62
961	1549	61
962	1550	59
963	1552	57
964	1554	56
965	1555	54
966	1557	53
967	1558	51
968	1559	49
969	1560	48
970	1562	46
971	1563	45
972	1565	43
973	1566	41
974	1568	40
975	1569	38
976	1572	37
977	1573	35
978	1575	33
979	1577	32
980	1578	30
981	1579	28
982	1581	27
983	1582	25
984	1583	24
985	1584	22
986	1586	20
987	1587	19
988	1588	17
989	1590	16
990	1592	14
991	1593	12
992	1595	11
993	1597	9
994	1598	8
995	1600	6
996	1601	4
997	1602	3
998	1603	1
999	1604	0
